"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 19 14:26:20 GMT 2024","Sat Oct 19 14:26:22 GMT 2024","2504","tests","test_calculator","","","","test_calculator_operations_with_zero[0---5--5-0 - 5 =]","Parametrized test for calculator operations involving 0"
"passed","Sat Oct 19 14:25:59 GMT 2024","Sat Oct 19 14:26:02 GMT 2024","2851","tests","test_calculator","","","","test_calculator_negative_number_operations[-5.5-+-2.2--3.3--5.5 + 2.2 =]","Parametrized test for calculator operations involving negative numbers"
"passed","Sat Oct 19 14:26:21 GMT 2024","Sat Oct 19 14:26:23 GMT 2024","1972","tests","test_calculator","","","","test_calculator_operations_with_zero[5---0-5-5 - 0 =]","Parametrized test for calculator operations involving 0"
"passed","Sat Oct 19 14:26:33 GMT 2024","Sat Oct 19 14:26:36 GMT 2024","2703","tests","test_calculator","","","","test_calculator_use_result_in_next_operation[8 \xf7 2-+ 3-7]","Test using the result of one operation in the next operation."
"passed","Sat Oct 19 14:26:17 GMT 2024","Sat Oct 19 14:26:19 GMT 2024","2288","tests","test_calculator","","","","test_calculator_operations_with_zero[5-+-0-5-5 + 0 =]","Parametrized test for calculator operations involving 0"
"passed","Sat Oct 19 14:26:04 GMT 2024","Sat Oct 19 14:26:08 GMT 2024","3483","tests","test_calculator","","","","test_calculator_large_number_operations[999999999999---1-999999999998-999999999999 - 1 =]","Parametrized test for calculator operations involving large numbers"
"passed","Sat Oct 19 14:26:38 GMT 2024","Sat Oct 19 14:26:40 GMT 2024","2087","tests","test_calculator","","","","test_calculator_clean_functionality[5-+-9-14-5 + 9 =]","
    Parametrized test to verify the 'Clean Entry' (CE) functionality after operations.
    "
"passed","Sat Oct 19 14:25:59 GMT 2024","Sat Oct 19 14:26:02 GMT 2024","3031","tests","test_calculator","","","","test_basic_calculator_operations[100-\xd7-100-10000-100 \xd7 100 =]","Parametrized test for basic calculator operations: addition, subtraction, multiplication, and division"
"passed","Sat Oct 19 14:26:00 GMT 2024","Sat Oct 19 14:26:03 GMT 2024","2722","tests","test_calculator","","","","test_calculator_negative_number_operations[2.5-\xd7--2--5-2.5 \xd7 -2 =]","Parametrized test for calculator operations involving negative numbers"
"passed","Sat Oct 19 14:26:45 GMT 2024","Sat Oct 19 14:26:50 GMT 2024","5241","tests","test_calculator","","","","test_calculator_step_by_step_cleaning_without_equal[5-\xf7-5-stepwise_expressions3]","
    Parametrized test to verify step-by-step clearing of the calculator expression
    after entering the operation and the second number, but without pressing the equal button.
    The expression should reduce step by step until fully cleared.
    "
"passed","Sat Oct 19 14:26:17 GMT 2024","Sat Oct 19 14:26:22 GMT 2024","4715","tests","test_calculator","","","","test_calculator_large_number_operations[1000000000000-\xf7-1000000-1000000-1000000000000 \xf7 1000000 =]","Parametrized test for calculator operations involving large numbers"
"passed","Sat Oct 19 14:26:33 GMT 2024","Sat Oct 19 14:26:35 GMT 2024","2640","tests","test_calculator","","","","test_calculator_use_result_in_next_operation[10 \xd7 2-+ 3-23]","Test using the result of one operation in the next operation."
"passed","Sat Oct 19 14:26:11 GMT 2024","Sat Oct 19 14:26:15 GMT 2024","4081","tests","test_calculator","","","","test_calculator_large_number_operations[5000000000-\xd7-2000000000-1e+19-5000000000 \xd7 2000000000 =]","Parametrized test for calculator operations involving large numbers"
"passed","Sat Oct 19 14:26:38 GMT 2024","Sat Oct 19 14:26:40 GMT 2024","2278","tests","test_calculator","","","","test_calculator_clean_functionality[10---3-7-10 - 3 =]","
    Parametrized test to verify the 'Clean Entry' (CE) functionality after operations.
    "
"passed","Sat Oct 19 14:25:58 GMT 2024","Sat Oct 19 14:26:00 GMT 2024","2709","tests","test_calculator","","","","test_basic_calculator_operations[5-+-6-11-5 + 6 =]","Parametrized test for basic calculator operations: addition, subtraction, multiplication, and division"
"passed","Sat Oct 19 14:26:30 GMT 2024","Sat Oct 19 14:26:32 GMT 2024","1720","tests","test_calculator","","","","test_calculator_decimal_precision[10-\xf7-6-1.66666666667]","Test calculator precision for long decimal results like 1 ÷ 3."
"passed","Sat Oct 19 14:26:35 GMT 2024","Sat Oct 19 14:26:38 GMT 2024","2847","tests","test_calculator","","","","test_calculator_successive_equals[4 \xd7 3-12]","Test that pressing equal repeatedly does not change the result in Google Calculator."
"passed","Sat Oct 19 14:25:54 GMT 2024","Sat Oct 19 14:25:56 GMT 2024","1772","tests","test_calculator","","","","test_all_buttons_calculator_present","Verify that all required buttons (digits and operations) for the calculator are present."
"passed","Sat Oct 19 14:25:54 GMT 2024","Sat Oct 19 14:25:57 GMT 2024","2617","tests","test_calculator","","","","test_basic_calculator_operations[10---3-7-10 - 3 =]","Parametrized test for basic calculator operations: addition, subtraction, multiplication, and division"
"passed","Sat Oct 19 14:26:26 GMT 2024","Sat Oct 19 14:26:28 GMT 2024","2182","tests","test_calculator","","","","test_calculator_operations_with_zero[5-\xf7-0-Infinity-5 \xf7 0 =]","Parametrized test for calculator operations involving 0"
"passed","Sat Oct 19 14:26:40 GMT 2024","Sat Oct 19 14:26:43 GMT 2024","2290","tests","test_calculator","","","","test_calculator_clean_functionality[50-\xf7-5-10-50 \xf7 5 =]","
    Parametrized test to verify the 'Clean Entry' (CE) functionality after operations.
    "
"passed","Sat Oct 19 14:26:34 GMT 2024","Sat Oct 19 14:26:38 GMT 2024","3872","tests","test_calculator","","","","test_calculator_successive_equals[5 + 2-7]","Test that pressing equal repeatedly does not change the result in Google Calculator."
"passed","Sat Oct 19 14:26:11 GMT 2024","Sat Oct 19 14:26:14 GMT 2024","3086","tests","test_calculator","","","","test_calculator_negative_number_operations[-0.1-+--0.2--0.3--0.1 - 0.2 =]","Parametrized test for calculator operations involving negative numbers"
"passed","Sat Oct 19 14:26:28 GMT 2024","Sat Oct 19 14:26:31 GMT 2024","2649","tests","test_calculator","","","","test_calculator_operations_with_zero[0-\xf7-0-Error-0 \xf7 0 =]","Parametrized test for calculator operations involving 0"
"passed","Sat Oct 19 14:26:16 GMT 2024","Sat Oct 19 14:26:19 GMT 2024","3290","tests","test_calculator","","","","test_calculator_basic_float_operations[5.5-+-2.2-7.7-5.5 + 2.2 =]","Parametrized test for basic calculator operations involving float numbers"
"passed","Sat Oct 19 14:26:23 GMT 2024","Sat Oct 19 14:26:26 GMT 2024","2644","tests","test_calculator","","","","test_calculator_operations_with_zero[0-+-5-5-0 + 5 =]","Parametrized test for calculator operations involving 0"
"passed","Sat Oct 19 14:26:11 GMT 2024","Sat Oct 19 14:26:15 GMT 2024","4252","tests","test_calculator","","","","test_calculator_large_number_operations[1000000000-+-2000000000-3000000000-1000000000 + 2000000000 =]","Parametrized test for calculator operations involving large numbers"
"passed","Sat Oct 19 14:25:54 GMT 2024","Sat Oct 19 14:25:57 GMT 2024","2783","tests","test_calculator","","","","test_basic_calculator_operations[50-\xf7-5-10-50 \xf7 5 =]","Parametrized test for basic calculator operations: addition, subtraction, multiplication, and division"
"passed","Sat Oct 19 14:26:30 GMT 2024","Sat Oct 19 14:26:33 GMT 2024","2171","tests","test_calculator","","","","test_calculator_use_result_in_next_operation[5 + 5-\xd7 2-20]","Test using the result of one operation in the next operation."
"passed","Sat Oct 19 14:26:42 GMT 2024","Sat Oct 19 14:26:48 GMT 2024","5838","tests","test_calculator","","","","test_calculator_step_by_step_cleaning_without_equal[5-+-9-stepwise_expressions0]","
    Parametrized test to verify step-by-step clearing of the calculator expression
    after entering the operation and the second number, but without pressing the equal button.
    The expression should reduce step by step until fully cleared.
    "
"passed","Sat Oct 19 14:26:04 GMT 2024","Sat Oct 19 14:26:07 GMT 2024","2586","tests","test_calculator","","","","test_calculator_basic_float_operations[0.1-+-0.2-0.3-0.1 + 0.2 =]","Parametrized test for basic calculator operations involving float numbers"
"passed","Sat Oct 19 14:26:04 GMT 2024","Sat Oct 19 14:26:07 GMT 2024","2981","tests","test_calculator","","","","test_calculator_negative_number_operations[-7.5-\xf7--2.5-3--7.5 \xf7 -2.5 =]","Parametrized test for calculator operations involving negative numbers"
"passed","Sat Oct 19 14:26:14 GMT 2024","Sat Oct 19 14:26:18 GMT 2024","3441","tests","test_calculator","","","","test_calculator_basic_float_operations[7.5-\xf7-2.5-3-7.5 \xf7 2.5 =]","Parametrized test for basic calculator operations involving float numbers"
"passed","Sat Oct 19 14:26:24 GMT 2024","Sat Oct 19 14:26:27 GMT 2024","2684","tests","test_calculator","","","","test_calculator_operations_with_zero[5-\xd7-0-0-5 \xd7 0 =]","Parametrized test for calculator operations involving 0"
"passed","Sat Oct 19 14:26:45 GMT 2024","Sat Oct 19 14:26:50 GMT 2024","5194","tests","test_calculator","","","","test_calculator_step_by_step_cleaning_without_equal[5-\xd7-1-stepwise_expressions2]","
    Parametrized test to verify step-by-step clearing of the calculator expression
    after entering the operation and the second number, but without pressing the equal button.
    The expression should reduce step by step until fully cleared.
    "
"passed","Sat Oct 19 14:26:29 GMT 2024","Sat Oct 19 14:26:30 GMT 2024","1376","tests","test_calculator","","","","test_calculator_decimal_precision[1-\xf7-3-0.33333333333]","Test calculator precision for long decimal results like 1 ÷ 3."
"passed","Sat Oct 19 14:25:54 GMT 2024","Sat Oct 19 14:25:57 GMT 2024","3414","tests","test_calculator","","","","test_calculator_negative_number_operations[-10.1---3.5--13.6--10.1 - 3.5 =]","Parametrized test for calculator operations involving negative numbers"
"passed","Sat Oct 19 14:26:21 GMT 2024","Sat Oct 19 14:26:24 GMT 2024","2217","tests","test_calculator","","","","test_calculator_operations_with_zero[0-\xd7-5-0-0 \xd7 5 =]","Parametrized test for calculator operations involving 0"
"passed","Sat Oct 19 14:26:26 GMT 2024","Sat Oct 19 14:26:28 GMT 2024","2200","tests","test_calculator","","","","test_calculator_operations_with_zero[0-\xf7-5-0-0 \xf7 5 =]","Parametrized test for calculator operations involving 0"
"passed","Sat Oct 19 14:26:41 GMT 2024","Sat Oct 19 14:26:43 GMT 2024","2325","tests","test_calculator","","","","test_calculator_clean_functionality[100-\xd7-2-200-100 \xd7 2 =]","
    Parametrized test to verify the 'Clean Entry' (CE) functionality after operations.
    "
"passed","Sat Oct 19 14:26:11 GMT 2024","Sat Oct 19 14:26:13 GMT 2024","2455","tests","test_calculator","","","","test_calculator_basic_float_operations[2.5-\xd7-2-5-2.5 \xd7 2 =]","Parametrized test for basic calculator operations involving float numbers"
"passed","Sat Oct 19 14:26:43 GMT 2024","Sat Oct 19 14:26:49 GMT 2024","5661","tests","test_calculator","","","","test_calculator_step_by_step_cleaning_without_equal[5---3-stepwise_expressions1]","
    Parametrized test to verify step-by-step clearing of the calculator expression
    after entering the operation and the second number, but without pressing the equal button.
    The expression should reduce step by step until fully cleared.
    "
"passed","Sat Oct 19 14:26:04 GMT 2024","Sat Oct 19 14:26:07 GMT 2024","2747","tests","test_calculator","","","","test_calculator_basic_float_operations[10.1---3.5-6.6-10.1 - 3.5 =]","Parametrized test for basic calculator operations involving float numbers"
