"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 21 02:48:31 GMT 2024","Mon Oct 21 02:48:37 GMT 2024","5514","tests","test_calculator","","","","test_calculator_step_by_step_cleaning[numbers2-operations2-stepwise_expressions2]","
    Parametrized test to verify step-by-step clearing of the calculator expression
    after entering the operation and the second number, but without pressing the equal button.
    The expression should reduce step by step until fully cleared.
    "
"passed","Mon Oct 21 02:47:32 GMT 2024","Mon Oct 21 02:47:35 GMT 2024","2436","tests","test_calculator","","","","test_calculator_operations_with_zero[numbers3-operations3-5-5 - 0 =]","Parametrized test for calculator operations involving 0"
"passed","Mon Oct 21 02:47:02 GMT 2024","Mon Oct 21 02:47:04 GMT 2024","1640","tests","test_calculator","","","","test_all_buttons_calculator_present","Verify that all required buttons (digits and operations) for the calculator are present."
"passed","Mon Oct 21 02:47:07 GMT 2024","Mon Oct 21 02:47:10 GMT 2024","2977","tests","test_calculator","","","","test_basic_calculator_operations[numbers2-operations2-10000-100 \xd7 100 =]","Parametrized test for basic calculator operations with multiple numbers and operations"
"passed","Mon Oct 21 02:47:11 GMT 2024","Mon Oct 21 02:47:16 GMT 2024","5108","tests","test_calculator","","","","test_calculator_negative_number_operations[numbers2-operations2--5-2.5 \xd7 -2 =]","Parametrized test for calculator operations involving negative numbers"
"passed","Mon Oct 21 02:47:52 GMT 2024","Mon Oct 21 02:47:54 GMT 2024","2255","tests","test_calculator","","","","test_calculator_clear_all_functionality[numbers0-operations0-14-5 + 9 =]","
    Parametrized test to verify the 'Clear All' (AC) functionality after operations.
    "
"passed","Mon Oct 21 02:47:28 GMT 2024","Mon Oct 21 02:47:32 GMT 2024","4195","tests","test_calculator","","","","test_calculator_large_number_operations[numbers2-operations2-1e+19-5000000000 \xd7 2000000000 =]","Parametrized test for calculator operations involving large numbers"
"passed","Mon Oct 21 02:47:20 GMT 2024","Mon Oct 21 02:47:24 GMT 2024","3664","tests","test_calculator","","","","test_calculator_basic_float_operations[numbers1-operations1-6.6-10.1 - 3.5 =]","Parametrized test for basic calculator operations with float numbers"
"passed","Mon Oct 21 02:47:22 GMT 2024","Mon Oct 21 02:47:25 GMT 2024","3065","tests","test_calculator","","","","test_calculator_basic_float_operations[numbers4-operations4-0.3-0.1 + 0.2 =]","Parametrized test for basic calculator operations with float numbers"
"passed","Mon Oct 21 02:47:34 GMT 2024","Mon Oct 21 02:47:39 GMT 2024","4846","tests","test_calculator","","","","test_calculator_large_number_operations[numbers3-operations3-1000000-1000000000000 \xf7 1000000 =]","Parametrized test for calculator operations involving large numbers"
